rubrique,regime,department,count
2712,Autorisation,72,7
286,Autorisation,77,72
81,Inconnu,77,1
2710,,91,33
2710,Enregistrement,91,20
2711,Inconnu,91,16
2716,Autorisation,94,11
281,Autorisation,95,6
2920,Inconnu,06,14
2921,Autorisation,06,5
1432,Autorisation,13,37
1432,,13,88
1434,,13,41
1435,,13,10
1520,Inconnu,13,1
2171,,13,12
2220,Inconnu,13,2
2221,Autorisation,13,3
2230,Inconnu,13,1
2255,Inconnu,13,5
2560,Inconnu,13,4
2663,Inconnu,13,6
2731,Autorisation,13,1
2910,Inconnu,13,40
2920,Autorisation,13,66
2925,,13,136
2920,Autorisation,83,6
2251,,83,4
1412,,84,9
1414,,84,11
2663,Inconnu,84,14
2910,,84,38
2940,,84,5
4718,Inconnu,84,4
4802,Inconnu,84,5
2410,,84,2
2415,Autorisation,84,2
322,Autorisation,28,35
2712,Autorisation,84,10
286,Autorisation,84,19
2560,,18,19
2565,Autorisation,18,28
2575,,18,25
2910,,18,53
2920,,18,29
2940,Autorisation,18,7
2160,Autorisation,18,6
2160,Enregistrement,18,5
2160,,18,6
4331,Inconnu,18,19
4510,Inconnu,18,14
4511,Inconnu,18,16
4734,Inconnu,18,28
1131,Autorisation,18,3
1432,Autorisation,18,6
1433,Inconnu,18,5
1530,Inconnu,18,22
2515,Autorisation,18,15
258,Inconnu,18,1
2640,,18,1
2662,Inconnu,18,9
2515,,36,11
2521,Autorisation,36,6
2910,,36,47
2915,,36,7
1434,Inconnu,36,16
1520,,36,4
2515,Autorisation,36,19
253,Inconnu,36,19
2910,Autorisation,36,5
2920,,36,37
253,,36,7
1530,Inconnu,36,16
2663,Inconnu,36,9
286,Autorisation,36,20
322,Inconnu,36,2
329,Autorisation,36,6
98,,36,1
1136,,37,2
1185,,37,10
1412,Inconnu,37,11
1432,Inconnu,37,39
1434,,37,25
1510,Autorisation,37,10
1510,Enregistrement,37,19
1511,,37,4
1532,,37,11
2255,,37,2
2714,,37,17
2718,,37,1
2910,,37,68
2920,Autorisation,37,15
2921,,37,15
1180,,37,29
1412,,37,15
