rubriques,years,departments,occurrences
2925,2001,54,2
1173,2000,54,1
1410,2006,54,1
1432,2009,54,1
167,2000,54,4
2910,2006,54,6
2915,2006,54,1
2920,2006,54,10
1136,2000,54,1
1136,2004,54,1
1136,2006,54,1
1180,2000,54,1
1412,2000,54,2
1412,2004,54,3
1412,2006,54,1
1414,2000,54,1
1414,2004,54,3
1414,2006,54,1
1418,2000,54,2
1418,2004,54,1
1418,2006,54,2
1432,2000,54,3
1432,2006,54,10
1434,2000,54,2
1434,2004,54,4
1434,2006,54,5
1510,2000,54,3
1510,2006,54,3
1530,2000,54,6
1530,2004,54,2
1530,2006,54,5
1710,2000,54,1
1710,2004,54,1
1710,2006,54,1
1715,2007,54,1
2160,2004,54,1
2160,2006,54,1
2160,2000,54,1
2252,2000,54,1
2252,2004,54,1
2253,2000,54,1
2253,2004,54,1
2253,2006,54,1
2260,2000,54,2
2260,2004,54,1
2260,2006,54,1
2275,2000,54,1
2275,2004,54,1
2275,2006,54,1
2661,2000,54,2
2661,2004,54,3
2662,2000,54,5
2662,2006,54,1
2910,2000,54,5
2920,2000,54,8
2921,2006,54,4
2921,2004,54,1
2925,2000,54,2
2925,2006,54,4
2930,2000,54,1
2930,2004,54,3
2930,2006,54,4
1180,2001,54,2
2560,2001,54,1
2561,2001,54,1
2565,2001,54,1
2566,2001,54,1
2921,1814,54,14
2940,2001,54,2
1432,2003,54,9
1434,2003,54,3
1530,2003,54,7
167,2003,54,2
322,2003,54,1
329,2003,54,1
1530,2002,54,7
167,2007,54,3
2240,2007,54,1
2515,2007,54,5
286,2007,54,2
2910,2002,54,11
322,2007,54,1
329,2007,54,1
2560,2004,54,2
1136,1986,54,1
1138,1986,54,1
1180,2010,54,4
1185,1987,54,1
1200,2004,54,1
1220,2010,54,3
1411,1971,54,1
1412,2010,54,6
1418,2010,54,6
1433,2010,54,5
1434,1997,54,1
1450,1997,54,1
1520,1983,54,1
1530,1999,54,1
1631,2010,54,2
167,2001,54,3
1715,2009,54,4
1720,1986,54,2
2510,1996,54,3
2517,2010,54,4
2520,2010,54,2
2560,2010,54,7
2662,2010,54,3
2760,2010,54,5
2925,1997,54,1
2930,1999,54,2
322,1996,54,1
1412,1999,24,1
1432,1999,24,1
2340,1999,24,1
2910,1999,24,3
2920,1999,24,4
1155,1993,54,2
153BIS,1993,54,1
253,1993,54,3
261BIS,1993,54,2
355,1993,54,1
361,1993,54,2
376BIS,1993,54,2
81BIS,1993,54,1
89,1993,54,1
1530,2014,57,2
2410,2014,57,1
2160,1990,54,1
2920,1990,54,1
305BIS,1987,54,1
1180,1989,54,1
2160,1989,54,1
2260,1989,54,1
2920,1989,54,1
2510,1997,54,1
2510,1994,54,3
2515,2000,54,2
2565,2000,54,1
1138,2002,54,2
1220,2002,54,3
1432,2002,54,9
1450,2002,54,1
1520,2002,54,1
1630,2002,54,1
2546,2002,54,1
2552,2002,54,1
2560,2002,54,6
2713,2012,54,2
286,1995,54,1
2340,2006,54,2
261BIS,1991,54,2
91,1991,54,1
2230,2007,54,1
242,1992,54,1
242,1993,54,1
2920,2007,54,1
2410,2000,54,2
2415,2000,54,1
1BIS,1992,54,3
361,1992,54,2
405,1992,54,2
406,1992,54,3
1136,2005,54,1
1185,1999,54,1
1220,1999,54,1
1510,1999,54,2
1720,1999,54,3
1180,2006,54,1
1611,2006,54,1
2560,2006,54,2
2565,2006,54,1
2567,2006,54,1
2940,2006,54,1
286,2002,54,3
1412,1997,54,1
1414,1997,54,1
1432,1997,54,1
1720,2005,54,1
2560,1997,54,1
2562,1997,54,1
2564,2004,54,1
2660,1997,54,1
2661,1997,54,2
2663,1997,54,1
2910,1997,54,2
2915,1997,54,1
2920,1997,54,2
1180,2002,54,4
1412,2002,54,5
1418,2002,54,3
2410,2002,54,1
2565,2002,54,1
2575,2002,54,2
2663,2002,54,2
2920,2002,54,8
2925,2002,54,10
2930,2002,54,1
2940,2002,54,1
98BIS,2002,54,2
1510,2003,54,7
1720,2003,54,3
2160,2003,54,1
2260,2003,54,2
2450,2003,54,2
2910,2003,54,10
2920,2003,54,7
2940,2003,54,4
286,1989,24,1
1136,2002,54,1
1434,2002,54,3
1511,2016,54,1
2230,2002,54,2
2230,2016,54,1
2240,2002,54,1
2240,2016,54,1
2265,2002,54,1
2663,2016,54,1
2910,2016,54,1
2921,2016,54,1
3642,2016,54,1
4735,2016,54,1
2552,2003,57,1
2560,2003,57,4
2564,2003,57,1
2910,2003,57,8
2920,2003,57,12
2921,2003,57,1
2925,2003,57,6
2510,1993,54,1
286,1974,54,1
1131,1989,54,1
1212,2004,54,1
2410,2004,54,1
2910,1989,54,1
2915,2004,54,1
1111,1995,54,1
1131,1995,54,1
1175,1995,54,1
1220,1995,54,1
1416,1995,54,1
1510,1995,54,1
153BIS,1995,54,2
1611,1995,54,1
1630,1995,54,1
253,1995,54,1
2560,1995,54,3
2662,1995,54,1
361,1995,54,1
405,1995,54,1
406,1995,54,1
1180,2003,54,1
1310,2003,54,1
1311,2003,54,2
1330,2003,54,1
2925,2003,54,8
1180,2008,54,1
1200,2008,54,1
1220,2008,54,1
1432,1980,54,1
1510,1994,54,1
2340,2003,54,1
2410,2008,54,1
2560,2008,54,1
2915,2008,54,2
2920,2008,54,5
2925,2008,54,3
2935,2003,54,1
2950,1999,54,1
2950,2006,54,1
2921,2012,54,1
1220,2007,54,1
1412,2007,54,1
1432,2007,54,1
1434,2007,54,1
1520,1994,54,2
1520,2007,54,2
153BIS,1994,54,4
1612,2007,54,1
167,2002,54,5
167,1994,54,1
1715,2010,54,3
1715,2014,54,1
1720,2007,54,1
195,1994,54,1
195,2007,54,1
211,1994,54,1
2515,1994,54,3
253,1994,54,2
2545,1994,54,1
2545,2007,54,1
2560,1994,54,1
261BIS,1994,54,2
2662,1994,54,1
2760,2007,54,2
281,1994,54,1
285,2007,54,1
286,1994,54,1
2921,2007,54,1
2930,2007,54,1
328BIS,1994,54,1
355,1994,54,1
361,1994,54,1
385QUA,1994,54,1
68,1994,54,2
89BIS,1994,54,1
1131,2010,54,3
1175,1996,54,1
1450,2010,54,3
1521,2010,54,2
2522,2010,54,1
2541,1996,54,1
2562,2010,54,1
2565,1996,54,1
2567,1996,54,1
2575,1996,54,1
2575,2010,54,4
2661,2010,54,1
2662,1996,54,1
2915,2010,54,2
2915,1996,54,4
2925,1996,54,1
2940,2010,54,10
272,1989,54,1
281,1989,54,2
282,1989,54,1
284,1989,54,1
285,1989,54,1
328BIS,1989,54,1
361,1989,54,1
405,1989,54,2
6,1989,54,1
167,2004,54,2
2510,2004,54,7
286,2004,54,2
322,2004,54,1
329,2004,54,1
98BIS,2004,54,2
1434,1995,54,1
153BIS,1987,54,2
182,1987,54,1
89,1987,54,1
1412,1992,54,1
1432,1992,54,1
2575,1992,54,1
2910,1992,54,1
2940,1992,54,2
1220,2005,54,1
1412,2005,54,2
1418,2005,54,1
1432,2005,54,5
1434,2005,54,4
1435,2005,54,1
1530,2005,54,2
2260,2005,54,2
2661,2005,54,2
2662,2005,54,1
2663,2005,54,1
2920,2005,54,6
2925,2005,54,4
2510,1999,54,3
2712,2012,54,2
286,1993,54,1
253,1998,54,1
2575,1998,54,1
2661,1998,54,1
2662,1998,54,2
2910,1998,54,4
2920,1998,54,5
2921,1998,54,2
2940,1998,54,3
286,1998,54,1
98BIS,1998,54,1
1611,2003,54,2
1433,2002,54,1
1720,2002,54,4
2661,2002,54,2
2662,2002,54,2
1150,1998,54,1
1200,2010,54,2
1311,1980,54,1
1432,1996,54,2
1434,2010,54,3
1520,1996,54,4
1530,2010,54,4
2720,2010,54,1
2910,1996,54,5
355,1986,54,1
376BIS,1994,54,1
1434,1996,54,3
253,1996,54,2
286,1996,54,2
2415,1992,54,1
1220,2000,54,2
286,2000,54,3
95,2000,54,1
98BIS,2000,54,5
1310,2009,54,3
2515,1996,54,5
2515,2004,54,4
2510,1988,54,2
2510,2006,54,1
2515,2006,54,1
2510,1991,54,2
2510,1972,54,1
2515,1972,54,1
2510,1973,54,2
322,2000,54,3
2410,2006,54,1
2415,1999,54,1
2415,2006,54,1
1432,2001,54,6
2662,2001,54,2
2712,2001,54,1
2930,2001,54,1
98BIS,2001,54,1
1411,2008,54,1
1432,2008,54,2
1433,2001,54,2
1611,2008,54,1
1630,2008,54,1
2160,2008,54,1
2752,2008,54,1
2910,2008,54,4
2910,2019,54,1
4722,2008,54,1
4725,2008,54,1
1611,2000,54,2
1630,2000,54,2
2516,2000,54,1
2717,2015,54,1
2718,2000,54,1
2791,2000,54,1
2935,2005,54,1
286,2001,54,2
286,1979,24,2
1432,2010,24,7
1520,2010,24,2
2515,2010,24,5
2517,2010,24,6
2521,2010,24,2
2915,2010,24,2
2920,2010,24,4
1530,2001,54,2
1611,2001,54,1
1630,2001,54,1
2910,2001,54,3
329,2000,54,1
1432,1814,54,6
1434,1814,54,3
2515,1995,54,1
1510,1814,54,1
1520,1814,54,2
2160,2002,54,2
2220,2002,54,3
2221,2002,54,3
2710,2002,54,2
2662,2012,54,1
2714,2012,54,1
95,2004,54,1
1111,2001,54,2
1434,2001,54,2
322,2001,54,2
329,2001,54,1
1414,2002,54,4
1435,2011,54,1
2731,2002,54,1
1510,2005,54,3
2160,2005,54,1
2240,2005,54,1
2712,2011,54,1
1180,1997,54,1
2260,2002,54,2
2660,2002,54,1
2661,2007,54,2
2662,2009,54,1
2663,2009,54,1
2510,2007,54,4
2450,1990,24,2
2714,2011,24,9
2715,1814,24,1
2716,2011,24,6
2718,2014,24,5
2791,2011,24,7
322,2001,24,2
2510,2003,54,7
2515,2003,54,8
2516,2017,54,1
2517,2017,54,1
1412,2003,54,2
2255,2003,54,1
98BIS,2003,54,1
1173,2003,54,2
2630,2003,54,1
2663,2003,54,4
2221,2004,54,1
2230,2004,54,1
2345,2004,54,1
2935,2004,54,2
1418,1814,54,2
2560,1814,54,2
2575,1814,54,2
2910,1814,54,4
2925,1814,54,4
1520,2003,54,2
2521,2003,54,2
2915,2003,54,3
2255,2006,54,1
2170,2006,54,1
2171,2006,54,1
2517,2003,54,1
2716,2011,54,4
2565,2008,54,1
2940,2008,54,1
1530,1814,54,1
2640,1814,54,1
2661,1814,54,3
2662,1814,54,2
2663,1814,54,3
2930,2005,54,3
1720,2006,54,1
167,1814,54,1
167,2010,54,3
2171,2010,54,1
2260,2010,54,2
2260,2011,54,1
2710,2010,54,1
2713,2011,54,3
2714,2011,54,3
2780,2010,54,4
2782,2011,54,1
286,2010,54,1
2930,2010,54,2
322,2010,54,2
98BIS,2010,54,1
1220,1814,54,1
2564,1814,54,1
2565,1814,54,2
2930,1814,54,2
2931,1814,54,1
1510,2008,54,2
1530,2008,54,3
2662,2008,54,3
2663,2008,54,2
322,1980,87,1
1311,2014,54,1
4220,2014,54,1
2510,2011,54,3
1521,1814,54,1
2260,1814,54,2
2523,1814,54,1
2915,1814,54,2
2510,2013,54,2
2515,2013,54,1
2712,1814,54,2
120,1991,57,1
1520,1991,57,1
153BIS,1991,57,2
183BIS,1991,57,1
217,1991,57,1
2515,2015,57,3
2517,2014,57,1
2521,2014,57,1
253,1991,57,2
261BIS,1991,57,1
361,1991,57,3
1434,1975,54,1
2980,2008,54,2
2980,2011,54,4
2980,2005,54,1
2510,2010,54,2
1412,1814,24,1
1435,1814,24,2
1520,1814,24,1
2517,1814,24,3
2910,1814,24,2
2915,1814,24,1
2510,2015,54,2
2760,2018,54,1
1111,2005,55,1
1131,2005,55,2
1200,2005,55,1
1220,2005,55,1
1416,2005,55,1
1418,2005,55,1
1432,2005,55,1
1434,2005,55,1
1611,2005,55,1
2560,2005,55,1
2561,2005,55,1
2564,2005,55,1
2565,2005,55,1
2575,2005,55,1
2910,2005,55,1
2920,2005,55,1
2921,2005,55,1
2925,2005,55,1
1180,2008,55,1
1414,2008,55,1
2560,1999,55,4
2561,2008,55,1
2565,2008,55,1
2567,2008,55,1
2575,2008,55,1
2910,2008,55,4
2920,2008,55,2
2311,1992,55,1
2330,1992,55,2
2910,1992,55,2
2920,1992,55,2
2510,1998,55,2
1131,1974,57,1
1180,1814,57,4
1431,1974,57,1
1432,1974,57,1
1433,1974,57,1
1434,1974,57,1
2660,1974,57,1
2662,1814,57,2
2915,1974,57,1
2920,1974,57,1
2712,2014,55,5
2712,1981,55,1
2713,1981,55,1
2714,1981,55,1
2718,2014,55,4
286,1981,55,1
338,1981,55,1
1180,2002,55,1
1220,1814,55,2
2560,1992,55,2
2565,1992,55,2
2925,1973,55,1
2940,1973,55,1
1412,1814,55,2
1414,1814,55,1
1414,2013,55,1
1416,1814,55,1
153BIS,1991,55,2
1611,1814,55,1
1611,2013,55,2
1BIS,1991,55,1
211,1991,55,1
211BIS,1991,55,1
236BIS,1991,55,1
2560,1814,55,2
2560,2013,55,2
2561,1814,55,2
2561,2013,55,1
2565,1814,55,2
2565,2013,55,1
2567,1814,55,1
2575,1814,55,4
2575,2013,55,1
261BIS,1991,55,2
272,1991,55,2
281,1991,55,2
282,1991,55,1
285,1991,55,1
288,1991,55,2
289,1991,55,1
2910,2013,55,3
2920,1814,55,9
2921,1814,55,9
2921,2014,55,2
2940,1814,55,4
2940,2013,55,2
31BIS,1991,55,1
355,1991,55,2
361,1999,55,1
405,1991,55,2
406,1991,55,1
1416,2003,55,1
1432,2003,55,3
1434,2003,55,1
1611,2003,55,1
2560,2003,55,1
2561,2003,55,1
2565,2003,55,1
2567,2003,55,1
2910,2003,55,2
2920,2003,55,2
2940,2003,55,3
253,1987,55,1
261BIS,1987,55,1
281,1987,55,1
282,1987,55,1
405,1987,55,1
1220,1999,55,3
1418,1999,55,3
1434,1999,55,3
211,1999,55,2
253,1999,55,3
2575,1999,55,1
2910,1999,55,4
2920,1999,55,4
2925,1999,55,4
2940,1999,55,1
1510,2017,33,5
281,1992,55,1
288,1992,55,2
2921,1992,55,2
361,1992,55,4
2510,2013,55,5
2515,2013,55,4
2510,1973,57,1
2510,1978,57,3
167,2000,55,2
2510,2000,55,5
2760,2000,55,1
2790,2000,55,1
1136,2013,55,1
1172,2011,55,1
1185,2011,55,1
1530,2011,55,1
1532,2011,55,1
2220,2011,55,1
2564,2011,55,1
2662,2011,55,1
2920,2011,55,2
2921,2011,55,2
2925,2011,55,1
1172,2013,55,1
1230,2013,55,1
1412,1983,55,1
1418,2013,55,2
1432,2013,55,4
1435,2013,55,4
1510,2013,55,1
1530,2013,55,1
1532,2013,55,1
2175,1983,55,1
261BIS,1983,55,1
2662,2013,55,1
2910,1983,55,1
2920,1983,55,1
1412,1999,55,1
1432,1999,55,2
1510,1999,55,2
1520,1999,55,2
1530,1999,55,1
2260,1999,55,2
2410,1999,55,1
2420,1999,55,1
2663,1999,55,1
2930,1999,55,1
2517,2013,55,2
2510,2003,55,3
2510,2015,55,2
2515,1998,55,3
2517,2015,55,1
2340,1998,55,1
2910,1998,55,5
1532,2018,33,6
2260,2018,33,2
2710,2017,33,21
2710,1814,33,4
2560,1995,55,1
1331,1991,55,1
2160,1991,55,2
1111,1990,32,1
1155,1990,32,1
2160,1990,32,1
2260,1990,32,1
2718,2017,32,1
4510,1990,32,1
4702,1990,32,1
1185,1814,55,1
1450,1814,55,2
2552,1814,55,1
2560,1983,55,1
2925,1814,55,4
1434,1994,55,1
2515,1994,55,2
2520,1994,55,1
2560,1994,55,3
2662,1994,55,2
2770,2017,55,2
2930,2017,55,1
3310,2017,55,1
1530,1981,55,2
1531,2000,55,4
2410,1981,55,2
2940,1981,55,1
1180,1996,55,1
1412,1996,55,1
1418,1996,55,1
1432,1996,55,1
1433,1996,55,1
1520,1996,55,1
1530,1996,55,1
167,1814,55,2
1720,1996,55,1
195,1814,55,1
2410,1996,55,1
2515,1814,55,4
2551,1996,55,1
2561,1996,55,1
2661,1996,55,1
286,1814,55,2
2910,1996,55,4
2940,1996,55,1
2950,1996,55,1
1111,2002,55,2
153BIS,1992,55,1
253,1992,55,2
285,1992,55,1
289,1992,55,1
328BIS,1992,55,1
355,1992,55,1
1412,1994,55,3
1432,2014,55,2
1435,2014,55,1
1532,2014,55,1
2415,1986,55,1
2910,2014,55,2
2920,1986,55,1
2661,1998,55,2
2662,1998,55,3
2920,1998,55,2
98BIS,1998,55,2
1173,2010,55,3
1200,2010,55,2
1220,2010,55,2
1412,2010,55,3
1414,2010,55,2
1418,2010,55,2
1432,2010,55,6
1435,2010,55,2
1530,2010,55,4
1532,2010,55,3
153BIS,1993,55,2
1611,2010,55,3
1630,2010,55,3
2160,2010,55,2
2230,2010,55,1
242,1993,55,2
253,1993,55,3
2663,2010,55,4
2750,1993,55,1
2910,2010,55,8
2915,2010,55,1
2920,2010,55,8
2921,2007,55,1
2921,2010,55,3
2925,2010,55,4
355,1993,55,2
361,1993,55,3
1331,2000,55,1
1412,2000,55,1
1434,1814,55,6
2160,2000,55,1
2175,2000,55,1
2260,2000,55,1
2515,2000,55,2
253,2000,55,1
2910,2000,55,1
2515,2003,55,2
2510,1993,55,1
2510,2005,55,4
2515,2005,55,3
1720,1814,55,1
211,1987,55,1
2510,1995,55,2
253,1814,55,1
2910,1814,55,7
89BIS,1987,55,1
2510,2001,55,3
2515,2001,55,3
2517,2001,55,1
2510,1992,55,1
2510,2008,55,3
2510,1991,55,2
2510,2004,55,4
2510,1999,55,2
2515,1989,55,1
1175,2011,55,1
1432,2011,55,1
1435,2011,55,2
1520,2011,55,1
2517,2011,55,1
2521,2011,55,2
2910,2011,55,1
2915,2011,55,1
1180,1814,33,2
1416,1814,33,1
1418,1814,33,1
1432,1899,33,1
1434,1814,33,5
1611,1814,33,1
1721,1814,33,1
2560,1814,33,2
2910,1899,33,1
2920,1814,33,16
2925,1814,33,7
1220,2001,55,1
1412,2001,55,1
1418,2001,55,1
1432,2001,55,3
1434,2001,55,2
1532,2001,55,1
195,2001,55,1
2410,2001,55,1
2551,2001,55,1
2560,2001,55,1
2561,2001,55,1
2575,2001,55,1
2713,2001,55,1
2910,2001,55,2
2940,2001,55,1
2661,2010,55,3
2714,2010,55,1
2791,2010,55,1
2920,1985,55,1
1180,1814,55,4
1432,1966,55,1
1510,2014,55,1
2160,1814,55,1
2160,2014,55,1
2260,1971,55,1
2260,2014,55,1
1418,1814,55,1
1418,2002,55,1
2560,2002,55,1
2560,2010,55,2
2561,2002,55,1
2565,2002,55,2
2575,2002,55,2
2910,2002,55,1
2920,2002,55,3
2940,2002,55,2
1432,1976,55,1
2410,1976,55,1
2910,1976,55,1
2920,1976,55,1
2940,1976,55,1
2561,1999,55,1
2567,1999,55,1
1220,1980,55,1
1418,1980,55,1
1432,1980,55,1
2560,1980,55,1
2910,1980,55,1
2920,1980,55,1
286,1992,57,1
355,1992,57,1
89,1992,57,1
89TER,1992,57,2
98BIS,1992,57,1
1220,2013,57,1
2713,2013,57,3
286,1991,57,2
328BIS,1991,57,1
46,1991,57,1
1530,1991,55,1
2410,1991,55,2
2415,1991,55,1
1432,1814,55,5
1520,1814,55,2
2515,2019,55,1
2520,1814,55,1
2915,1814,55,2
322,1814,55,1
98BIS,1814,55,3
1432,1994,55,1
1530,1994,55,2
2640,1994,55,1
2661,1994,55,3
2663,1994,55,1
2920,1994,55,3
1311,1940,55,1
2510,1990,55,1
1530,1814,55,4
2410,1814,55,2
1185,2012,55,1
1412,2012,55,2
1435,2012,55,2
1510,1814,55,1
1510,2012,55,1
1530,2012,55,1
1532,2012,55,2
2255,1814,55,1
2910,2012,55,2
2517,2003,55,2
2517,2002,55,3
1310,2003,55,1
1330,2003,55,1
2517,1814,55,1
2521,1814,55,2
2522,1814,55,1
286,1985,55,3
1430,2002,55,1
1432,2002,55,4
1434,2002,55,3
1435,2002,55,1
1530,2002,55,2
167,2002,55,2
2713,2002,55,1
2714,2002,55,1
2716,2002,55,1
286,2002,55,3
322,2002,55,1
329,2002,55,2
98BIS,2002,55,2
167,2003,55,2
2760,2003,55,1
2560,1987,55,1
2565,1987,55,1
2510,2004,57,4
2510,2006,55,4
1136,2005,55,1
1435,1989,55,1
1511,1989,55,1
1530,1989,55,1
153BIS,1989,55,1
1630,1989,55,1
242,1989,55,1
253,1989,55,2
2560,1989,55,1
2564,1989,55,1
2575,1989,55,1
261BIS,1989,55,1
2910,1989,55,1
2921,1989,55,1
2925,1989,55,1
2940,1989,55,1
361,1989,55,1
3643,1989,55,1
4120,1989,55,1
4130,1989,55,1
4310,1989,55,1
4320,1989,55,1
4331,1989,55,1
4441,1989,55,1
4510,1989,55,1
4511,1989,55,1
4719,1989,55,1
4725,1989,55,1
4734,1989,55,1
4735,1989,55,1
4741,1989,55,1
1185,1993,55,1
1435,1993,55,2
1510,1993,55,1
1511,1993,55,2
1530,1993,55,2
1532,1993,55,2
1630,1993,55,2
2160,1993,55,2
2564,1993,55,2
261BIS,1993,55,1
2661,1993,55,2
2662,1993,55,1
2663,1193,55,1
272BIS,1993,55,1
2752,1993,55,2
3642,1993,55,1
3643,1993,55,2
4130,1993,55,2
4331,1993,55,2
4441,1993,55,2
4510,1993,55,2
4511,1993,55,1
4718,1993,55,2
4719,1993,55,2
4725,1993,55,2
4734,1993,55,2
4734,1193,55,1
4735,1993,55,1
4802,1993,55,1
2712,2000,55,1
2713,2000,55,1
2714,2000,55,1
286,2000,55,1
2713,2011,55,3
2714,2011,55,2
2710,2014,55,1
2711,2014,55,1
2712,1987,55,1
2713,1987,55,1
2714,2014,55,2
2714,1987,55,1
286,1987,55,3
1810,1814,55,1
2516,1814,55,1
1185,2014,55,1
1510,2010,55,2
2662,2010,55,2
2980,2014,55,1
2980,2006,55,1
2521,2015,57,1
2980,2005,55,4
2980,2007,55,11
2980,2012,55,4
2980,2011,55,2
286,1814,57,7
167,2004,33,4
286,2004,33,1
2915,2004,33,5
2920,2004,33,12
2980,2009,55,5
2760,2011,88,1
2980,2004,55,3
2980,2008,55,4
1311,1967,55,1
211,1976,57,1
254,1976,57,1
328BIS,1976,57,1
33BIS,1976,57,1
361,1976,57,1
405,1976,57,2
406,1976,57,1
6,1976,57,1
2781,2019,88,3
2980,2019,55,1
2760,2013,55,1
2712,1987,57,1
2515,2004,57,4
1530,2016,55,1
2101,2016,55,1
2101,2017,55,1
286,1986,57,4
405,1986,57,3
68,1988,57,1
2355,1975,55,1
2730,1975,55,1
2515,2018,57,2
2517,2018,57,2
2517,2019,57,2
2710,2019,57,2
2760,1997,57,1
3540,1997,57,1
2930,1997,57,3
1611,1996,57,1
1630,1996,57,1
2565,1996,57,3
2910,1996,57,5
2920,1996,57,7
1180,2002,57,5
1418,2007,57,3
1432,2007,57,10
2560,2007,57,1
2575,2007,57,2
2910,2007,57,14
2920,2007,57,10
2925,2002,57,8
2940,2007,57,5
2950,2007,57,1
1150,2000,57,1
1432,2000,57,5
1435,2000,57,1
1521,2000,57,1
1530,2000,57,3
2260,2000,57,1
2410,2000,57,1
2415,2000,57,1
2910,2000,57,8
2920,2000,57,11
16,1991,57,1
170,1991,57,1
261,1991,57,1
89,1991,57,1
2515,2008,57,4
2523,2008,57,3
2524,1996,57,1
2910,2008,57,10
2920,2008,57,8
2925,2008,57,6
1136,2009,57,1
1180,2009,57,2
1432,2009,57,5
1510,2009,57,1
1530,2009,57,2
2230,2009,57,1
2231,2009,57,1
2750,2009,57,1
2910,2009,57,6
2920,2009,57,9
2921,1814,57,19
2560,2001,57,8
2920,2001,57,17
1530,1814,57,5
1531,1814,57,1
2410,1814,57,2
1432,1994,57,1
1434,1994,57,3
153BIS,1994,57,2
211BIS,1994,57,1
2160,1994,57,1
2560,1994,57,3
2661,1994,57,3
2662,1994,57,1
2925,1994,57,2
361,1994,57,3
81,1994,57,1
81BIS,1994,57,1
2575,1988,57,1
289,1988,57,1
405,1988,57,1
1180,2001,57,7
1220,2009,57,3
1412,2009,57,2
1414,1999,57,1
1414,2001,57,3
1434,2009,57,4
1BIS,1993,57,1
211,1993,57,2
211BIS,1993,57,1
2560,2009,57,3
2561,2009,57,2
2565,2001,57,6
2575,2009,57,3
261BIS,1993,57,4
281,1993,57,1
282,1993,57,1
285,1993,57,1
288,1993,57,3
2910,1993,57,1
2921,2009,57,5
2940,2009,57,3
328BIS,1993,57,1
355,1993,57,1
361,1993,57,4
405,1993,57,2
406,1993,57,1
286,1979,79,1
4511,2009,57,2
1130,1814,57,1
1131,1814,57,4
1150,1814,57,2
1171,1814,57,4
1410,1814,57,4
1416,1814,57,2
1420,1814,57,1
1431,1814,57,2
1433,1814,57,2
1434,1814,57,6
1711,1814,57,1
2910,1814,57,15
2920,1814,57,8
286,2009,57,2
2515,1990,57,1
68,1990,57,1
1220,2004,57,6
1412,2004,57,5
1432,2004,57,10
1434,2004,57,8
2560,2004,57,9
2713,2012,57,7
2791,2012,57,3
286,2004,57,3
2920,2004,57,10
89TER,1993,57,2
98BIS,2004,57,2
2712,2014,57,2
2713,1997,57,1
2718,2014,57,1
286,1997,57,3
206,1976,57,1
2712,1976,57,1
2713,2000,57,1
286,2000,57,4
1450,1994,57,2
167,2008,57,4
2565,1994,57,1
2565,2005,57,5
2711,2008,57,2
2799,2008,57,1
322,2008,57,2
361,2008,57,1
414,1994,57,1
1110,1986,57,1
1111,1994,57,1
1130,1994,57,1
1131,1994,57,2
1136,1994,57,1
1171,1986,57,1
15,1957,57,1
15,1969,57,1
16,1957,57,1
16,1967,57,1
253,1957,57,1
253,1971,57,1
253,1975,57,1
253,1958,57,1
261,1971,57,1
261,1975,57,1
261,1976,57,1
261,1988,57,2
272,1971,57,1
29,1929,57,1
2910,1986,57,1
31,1957,57,1
31BIS,1969,57,1
379,1957,57,1
379,1969,57,1
50,1966,57,1
96,1971,57,1
182,1989,57,1
286,1989,57,2
361,1989,57,2
89BIS,1989,57,1
89TER,1989,57,1
1412,2002,57,6
1432,2002,57,10
1510,2002,57,4
2910,2002,57,12
2920,2002,57,12
1180,2008,57,2
1BIS,1991,57,1
251,1991,57,1
2560,2008,57,2
2565,2008,57,1
2575,2008,57,4
272,1991,57,1
281,1991,57,1
282,1991,57,1
289,1991,57,1
2940,2008,57,2
405,1991,57,1
406,1991,57,2
2515,1995,57,2
2567,2005,57,1
2920,2005,57,10
2950,2005,57,1
2565,1995,57,3
2567,1995,57,1
2925,1995,57,1
361,1995,57,2
1432,2001,57,9
2910,2001,57,15
1158,2008,57,1
1180,2004,57,2
1414,1998,57,1
1416,2004,57,1
1418,2004,57,5
1611,2004,57,4
2564,2004,57,2
2565,2004,57,5
2570,2004,57,1
2575,2004,57,3
2662,2004,57,8
2910,2004,57,6
2921,2008,57,5
2925,2004,57,4
2930,2004,57,1
2940,2004,57,7
1111,2000,57,1
1131,2000,57,3
1212,2000,57,1
1220,2000,57,2
211,2000,57,1
2515,2000,57,4
2910,1985,57,2
2925,2000,57,5
286,1998,57,6
2565,1987,57,1
288,1987,57,1
1412,2001,57,7
2450,2001,57,2
2925,2001,57,5
2940,2001,57,10
2950,2001,57,2
253,1997,57,3
120,1989,57,1
217,1989,57,2
1172,2002,57,2
2552,2002,57,2
2560,2002,57,5
2565,2002,57,3
2920,1997,57,9
1810,2010,57,1
2515,2010,57,4
2517,2010,57,4
1185,1814,57,2
1432,1814,57,8
1520,1996,57,1
2260,1996,57,2
1130,1993,57,1
1131,1993,57,2
120,1990,57,1
1432,1988,57,1
153BIS,1988,57,2
153BIS,1990,57,1
1630,1993,57,1
216,1988,57,3
217,1988,57,3
235,1988,57,3
253,1989,57,3
303,1988,57,1
31BIS,1988,57,1
343,1988,57,1
385QUA,1996,57,1
66,1988,57,2
66,1989,57,1
1434,2002,57,5
2221,2002,57,2
2230,2002,57,1
261,1985,57,1
167,1997,57,7
1455,1994,57,1
1520,1994,57,2
1611,1994,57,1
195,1994,57,1
2517,2004,57,2
2545,1994,57,1
2561,1995,57,1
286,1994,57,4
